scene,voice_id,image,name,body
scene1,scene1_01,talkSarah,"Sarah","What the $$^&? Why am I in a video game??!"
scene1,scene1_02,talkSarah,"Sarah","OH SHII it's first day of university... I'm gonna be late!"
scene2,scene2_01,talkSarah,"Sarah","Why am I here..."
scene2,scene2_02,talkSarah,"Sarah","I don't want to go to school..."
scene2,scene2_03,talkSarah,"Sarah","Ugh... Might as well wait for the bus..."
scene2,scene2_04,talkSarah,"Sarah","Yay.... the bus is here ..."
scene2,scene2_05,talkSarah,"Sarah","Made it to Lougheed at least !"
scene2,scene2_06,talkSarah,"Sarah","What a great day I hope nothing unrealistic and absurd happens..."
scene2,scene2_07,talkRichard,"Richard","Hi there i'm Richard, a sentient racoon. Thats my cue yoink"
scene2,scene2_08,upass,"upass","Hi Im Saras Upass and I just got stolen ROFL ??"
scene2,scene2_09,talkRichard,"Richard","Imagine paying $300 a semester for this and a Raccoon takes takes it that would be crazy.??"
scene2,scene2_10,talkRichard,"Richard","Couldnt Be me XD")
scene2,scene2_11,talkSarahMad,"Sarah","HEY YOU! GIVE ME BACK MY UPASS!")
scene3,scene3_01,kingFatHead,"King Fat Head","AYO Chat today I got 1000 Upasses and im going to create a tower out of them")
scene3,scene3_02,talkSarahMad,"Sarah","WHAT THE #$%^ IS THIS give me back my upass")
scene3,scene3_03,talksSarah,"Sarah"," Alright I guess I got to fight you for it ")
scene3,scene3_04,tslkSarahMad,"Sarah","I win GG EZ we are so back")

scene4,scene4_01,talkSarah,"Sarah","I need dirrections now how do I get to class")
scene4,scene4_02,talkSarah,"Sarah","Oh Upass of the translink what is your wisdom")
scene4,scene4_03,upass,"upass"," Yeah you just go up through the bus loop up the stairs around the aq through the WMC then through the AQ then go to the roof and you will end up in the SUB Then transit to Pit Medows trust"
scene4,scene4_04,talkSarahMad,"Sarah","THATS NOT HELPFUL AT ALL")
scene4,scene4_05,talkSarah,"Sarah","I guess I got to find it myself then lets see its noon and my clss is at 2")
scene4,scene4_06,talkrichard,"Richard","Nah its actually 1:45 PM ")
scene4,scene4_07,talkSarahMad,"Sarah","HOW!!!!!")
scene4,scene4_08,talk richard,"Richard","Im a sentient racoon of course im on some looney tunes logic")
scene6,scene6_01,talkSarah,"Sarah","Well I made it to class on time somehow")
scene6,scene6_02,talkSarah,"Sarah","Well what is the lesson or moral of the story I guess its that no matter how hecktic things are it somehow works out in the end")
scene6,scene6_03,talkSarah,"Sarah","Just like this game which is miraculously working in under 48hours of development and I have no idea how the devs did it but they did it and I am grateful for that")
scene6,scene6_04,talkSarah,"Sarah","Thanks you 3 dumbasses for bringin me to life for a short while anyway")
scene6,scene6_05,talkSarah,"Sarah","Maybe the real Untitled Raccon Game was the friends we made along the way or someting like that")
scene6,scene6_06,talkSarah,"Sarah","Thanks guys Byeeeee")





